min_date,max_date,X_t,Y_t+tau,tau=-1,tau=0,tau=+1
31-Jan-1953,31-Dec-2019,I,DRGNP,0.165947375457175,-0.132644209508839,-0.317892476731476
31-Jan-1953,31-Dec-2019,I,DPR,0.102414269659073,-0.178755874062268,-0.303344200666355
31-Jan-1953,31-Dec-2019,I,DCX/NS,-0.12749348477344,-0.0140893838290356,0.0594149506036814
31-Jan-1953,31-Dec-2019,I,DROC,-0.0454192227393929,-0.193370019075872,-0.230378247088165
31-Jan-1953,31-Dec-2019,EITB,DRGNP,0.0645755702054093,-0.101460284063567,-0.0320645794372066
31-Jan-1953,31-Dec-2019,EITB,DPR,0.0278462998280827,-0.177924798725872,-0.0502579194484188
31-Jan-1953,31-Dec-2019,EITB,DCX/NS,0.0760938425475301,0.121382995934402,0.0998354070677088
31-Jan-1953,31-Dec-2019,EITB,DROC,-0.0822497498930733,-0.254844960482127,-0.095121737535481
31-Jan-1953,31-Dec-2019,BG,DRGNP,-0.00261296193840734,-0.311494145926388,-0.03612718307628
31-Jan-1953,31-Dec-2019,BG,DPR,-0.0459617164273657,-0.326454273121854,-0.0773626229394909
31-Jan-1953,31-Dec-2019,BG,DCX/NS,0.0736410022290826,0.0498089826108379,-0.0431433273306758
31-Jan-1953,31-Dec-2019,BG,DROC,-0.0268231677826165,-0.254868710512977,0.244495242107601
31-Jan-1953,31-Dec-1999,I,DRGNP,0.119404889748642,-0.317038689716859,-0.446537991804761
31-Jan-1953,31-Dec-1999,I,DPR,0.0184053369694831,-0.417688456488709,-0.476342402434843
31-Jan-1953,31-Dec-1999,I,DCX/NS,-0.143376811060112,-0.0593192742820562,0.0277267607862069
31-Jan-1953,31-Dec-1999,I,DROC,-0.0778484046771225,-0.343111510613229,-0.23976569515252
31-Jan-1953,31-Dec-1999,EITB,DRGNP,-0.126391531925157,-0.335201281145159,-0.131912510837839
31-Jan-1953,31-Dec-1999,EITB,DPR,-0.237411856961227,-0.487824960408415,-0.22840848453509
31-Jan-1953,31-Dec-1999,EITB,DCX/NS,0.000151042392920841,0.0455758429846498,0.00645032944844593
31-Jan-1953,31-Dec-1999,EITB,DROC,-0.208108888360169,-0.369933679081414,-0.119146368809745
31-Jan-1953,31-Dec-1999,BG,DRGNP,0.260643882557864,0.242968632357255,-0.00376708136721399
31-Jan-1953,31-Dec-1999,BG,DPR,0.0871489082567514,0.103174867671877,-0.136255945260108
31-Jan-1953,31-Dec-1999,BG,DCX/NS,0.0754224577328414,-0.0590507382637805,-0.0305929305293921
31-Jan-1953,31-Dec-1999,BG,DROC,-0.0498281040676511,-0.183534069043377,-0.108414590825712
31-Jan-2000,31-Dec-2019,I,DRGNP,-0.0292251198248394,0.477493338620992,-0.241621657084036
31-Jan-2000,31-Dec-2019,I,DPR,-0.0352001370995812,0.510993788975099,-0.0730987532042172
31-Jan-2000,31-Dec-2019,I,DCX/NS,-0.490727435889752,-0.022943426589611,-0.112226507196532
31-Jan-2000,31-Dec-2019,I,DROC,-0.0610474829666852,0.509254056751382,-0.275447279964194
31-Jan-2000,31-Dec-2019,EITB,DRGNP,0.285806933587465,-0.262175757659994,-0.398288701175235
31-Jan-2000,31-Dec-2019,EITB,DPR,0.179274345499624,-0.358691977719203,-0.378870830666687
31-Jan-2000,31-Dec-2019,EITB,DCX/NS,0.0903506486990757,0.212137857929318,0.00923391979608302
31-Jan-2000,31-Dec-2019,EITB,DROC,0.0867182307939977,-0.328194521989463,0.108234941294004
31-Jan-2000,31-Dec-2019,BG,DRGNP,-0.00737819519782651,-0.766376825585585,0.0263620597098549
31-Jan-2000,31-Dec-2019,BG,DPR,0.0144968404939577,-0.642310004633358,0.0286585385779697
31-Jan-2000,31-Dec-2019,BG,DCX/NS,0.151669788433411,0.146553852853271,0.00388404681795326
31-Jan-2000,31-Dec-2019,BG,DROC,-0.00187426851249643,-0.405388959850536,0.403456699456941
31-Jan-1953,31-Jul-2007,I,DRGNP,0.133389914013562,-0.283084497061646,-0.403906870806452
31-Jan-1953,31-Jul-2007,I,DPR,0.0453192033533901,-0.362022382456495,-0.426552390450142
31-Jan-1953,31-Jul-2007,I,DCX/NS,-0.0984864873456963,-0.0170611755788802,0.0743922626957325
31-Jan-1953,31-Jul-2007,I,DROC,-0.0768978918348824,-0.305250753512627,-0.244159531553235
31-Jan-1953,31-Jul-2007,EITB,DRGNP,-0.0866883929875719,-0.302344912759001,-0.112374048744729
31-Jan-1953,31-Jul-2007,EITB,DPR,-0.163970056149725,-0.426157766100962,-0.170389544913805
31-Jan-1953,31-Jul-2007,EITB,DCX/NS,0.117193793316648,0.173035261671582,0.0851709152816284
31-Jan-1953,31-Jul-2007,EITB,DROC,-0.206371312512539,-0.40155869090168,-0.152415301271202
31-Jan-1953,31-Jul-2007,BG,DRGNP,0.2385832983887,0.212643547381133,0.0523737413273392
31-Jan-1953,31-Jul-2007,BG,DPR,0.0630305315257309,0.0782973972310705,-0.0587555172967686
31-Jan-1953,31-Jul-2007,BG,DCX/NS,0.081593230097919,-0.0782747416424545,-0.0884763620546785
31-Jan-1953,31-Jul-2007,BG,DROC,-0.0856019807943563,-0.184341924147659,0.0127519883735957
31-Jul-2007,31-Dec-2019,I,DRGNP,-0.350910088410071,0.425150757102402,-0.0214782033648561
31-Jul-2007,31-Dec-2019,I,DPR,-0.24996057628881,0.453872702118518,0.468651130794221
31-Jul-2007,31-Dec-2019,I,DCX/NS,-0.571922964243488,0.0606052796044454,-0.238208056307506
31-Jul-2007,31-Dec-2019,I,DROC,-0.343149459643773,0.519645442024875,-0.107290397599448
31-Jul-2007,31-Dec-2019,EITB,DRGNP,0.341659231164666,-0.632766208066263,-0.299590685872666
31-Jul-2007,31-Dec-2019,EITB,DPR,0.176359431514325,-0.696771435603907,-0.507548699482762
31-Jul-2007,31-Dec-2019,EITB,DCX/NS,0.143093404438526,0.0718220444649929,0.111371005904007
31-Jul-2007,31-Dec-2019,EITB,DROC,0.0965752767232279,-0.393323798989796,0.769235457002433
31-Jul-2007,31-Dec-2019,BG,DRGNP,0.0606229533119205,-0.821953983545342,-0.0200518264163809
31-Jul-2007,31-Dec-2019,BG,DPR,0.0691704446776245,-0.670047791911593,-0.0151220009067599
31-Jul-2007,31-Dec-2019,BG,DCX/NS,0.106515999606594,0.139063670125503,-0.0129978513491535
31-Jul-2007,31-Dec-2019,BG,DROC,0.092472744537012,-0.471650230014358,0.643082686070509
31-Jan-1953,31-Dec-1977,I,DRGNP,0.23480499426168,-0.217758577942827,-0.309924789672689
31-Jan-1953,31-Dec-1977,I,DPR,0.116008967948318,-0.399967798053504,-0.414045765071918
31-Jan-1953,31-Dec-1977,I,DCX/NS,-0.27326579039112,-0.0982448916654129,-0.0126987538580913
31-Jan-1953,31-Dec-1977,I,DROC,-0.0729770692068658,-0.411945397279477,-0.267517838482557
31-Jan-1953,31-Dec-1977,EITB,DRGNP,-0.0273364839516886,-0.278561212735633,0.0934670619008986
31-Jan-1953,31-Dec-1977,EITB,DPR,-0.136685517593433,-0.453141474968988,-0.0175893260895032
31-Jan-1953,31-Dec-1977,EITB,DCX/NS,-0.267545058276946,-0.0472729395782545,-0.164352536645909
31-Jan-1953,31-Dec-1977,EITB,DROC,-0.285296698063655,-0.406442745515451,-0.0183998489410531
31-Jan-1953,31-Dec-1977,BG,DRGNP,0.353400458980752,0.35548874651232,-0.081539446638304
31-Jan-1953,31-Dec-1977,BG,DPR,0.174785695584124,0.142086519409643,-0.302082746557668
31-Jan-1953,31-Dec-1977,BG,DCX/NS,-0.00417185579026005,-0.152983479979907,0.0285265453017236
31-Jan-1953,31-Dec-1977,BG,DROC,0.0613445070647516,-0.235465011105362,-0.326814048874373
31-Jan-1954,31-Dec-1976,I,DRGNP,0.131947199036196,-0.394731900443317,-0.235501994150436
31-Jan-1954,31-Dec-1976,I,DPR,0.0127001736337098,-0.490894969604725,-0.325437744832695
31-Jan-1954,31-Dec-1976,I,DCX/NS,-0.293106947995599,-0.104468037223389,-0.187471310969041
31-Jan-1954,31-Dec-1976,I,DROC,-0.262845563363159,-0.372518708150883,-0.169153380465005
31-Jan-1954,31-Dec-1976,EITB,DRGNP,-0.142495351390671,-0.39658078388945,0.189016091118352
31-Jan-1954,31-Dec-1976,EITB,DPR,-0.258111876195991,-0.508640313097866,0.110591070905856
31-Jan-1954,31-Dec-1976,EITB,DCX/NS,-0.272165761040277,-0.0193297379255613,-0.329242823068918
31-Jan-1954,31-Dec-1976,EITB,DROC,-0.49338309376287,-0.336502528764486,0.0740554315076993
31-Jan-1954,31-Dec-1976,BG,DRGNP,0.254927832269175,0.259362404874482,0.0520550561613145
31-Jan-1954,31-Dec-1976,BG,DPR,0.0586382685062578,0.113270741276109,-0.16743798919229
31-Jan-1954,31-Dec-1976,BG,DCX/NS,0.00984596048375459,-0.170573934722736,-0.181878029659524
31-Jan-1954,31-Dec-1976,BG,DROC,-0.139477217514121,0.0238815062074873,-0.223141631030577
